,소재지도로명,위도,경도,시군구코드,업태명,업소명,소재지도로명.1,소재지지번,지도점검일자,처분명,ㅉ,위반일자,처분내용
121,서울특별시 동작구 보라매로5길 35 (신대방동한국컴퓨터빌딩 상가 지하1층 102 103호),37.4870716,126.9812452,3190000.0,치킨,삼호프파니,서울특별시 동작구 보라매로5길 35 (신대방동한국컴퓨터빌딩 상가 지하1층 102 103호),서울특별시 동작구 신대방동 395번지 65호 한국컴퓨터빌딩 상가 지하1층 102 103호,20120104.0,영업소폐쇄,식품위생법 제75조,20120104.0,영업소폐쇄
122,서울특별시 동작구 동작대로27가길 11 (사당동(2층)),37.4870716,126.9812452,3190000.0,치킨,블랙홀,서울특별시 동작구 동작대로27가길 11 (사당동(2층)),서울특별시 동작구 사당동 139번지 71호 (2층),20071025.0,과태료부과,식품위생법 제26조,20071025.0,과태료부과
123,서울특별시 동작구 동작대로27가길 11 (사당동(2층)),37.496439,126.95301869999999,3190000.0,치킨,페어리스(FAIRIES),서울특별시 동작구 동작대로27가길 11 (사당동(2층)),서울특별시 동작구 사당동 139번지 71호 (2층),20080520.0,과징금부과(540만원),식품위생법 제31조 제1항,20080520.0,과징금부과(540만원)
124,서울특별시 동작구 상도로 360 (상도동),37.4878782,126.9123257,3190000.0,치킨,가위바위보,서울특별시 동작구 상도로 360 (상도동),서울특별시 동작구 상도동 475번지 9호,20090211.0,영업정지,식품위생법 제31조제2항,20090211.0,영업정지
125,서울특별시 동작구 신대방길 6 (신대방동),37.4862754,126.9802327,3190000.0,치킨,고향막걸리,서울특별시 동작구 신대방길 6 (신대방동),서울특별시 동작구 신대방동 618번지 85호,20071105.0,시정명령,식품위생법 제22조제5항,20071105.0,시정명령
126,서울특별시 동작구 동작대로27다길 26 (사당동101호),37.4872277,126.9659202,3190000.0,치킨,비어캐빈,서울특별시 동작구 동작대로27다길 26 (사당동101호),서울특별시 동작구 사당동 138번지 3호 101호,20070412.0,영업정지,식품위생법 제31조제2항4호,20070227.0,영업정지
127,서울특별시 동작구 사당로2차길 27 (사당동),37.5050958,126.92399679999998,3190000.0,치킨,자겟,서울특별시 동작구 사당로2차길 27 (사당동),서울특별시 동작구 사당동 204번지 13호,20080708.0,영업소폐쇄,식품위생법 제58조 및 동법시행규칙 제53조,20080708.0,영업소폐쇄
128,서울특별시 동작구 여의대방로36길 22 (대방동),37.50748529999999,126.9597944,3190000.0,치킨,퍼니퍼니,서울특별시 동작구 여의대방로36길 22 (대방동),서울특별시 동작구 대방동 381번지 15호,20080910.0,시정명령(9.23까지),식품위생법 제55조,20080910.0,시정명령(9.23까지)
129,서울특별시 동작구 흑석로9길 5 (흑석동),37.4798872,126.9813088,3190000.0,치킨,피쉬앤그릴,서울특별시 동작구 흑석로9길 5 (흑석동),서울특별시 동작구 흑석동 190번지 7호,20180416.0,시설개수명령,법 제71조 법 제74조 및 법 제75조,20180416.0,시설개수명령
130,서울특별시 동작구 동작대로7길 5 (사당동),37.484336600000006,126.98131399999998,3190000.0,치킨,일일일(日日日),서울특별시 동작구 동작대로7길 5 (사당동),서울특별시 동작구 사당동 1031번지 37호,20180528.0,시설개수명령,법 제71조 법 제74조 및 법 제75조,20180528.0,시설개수명령
131,서울특별시 동작구 동작대로23길 8 (사당동),37.5116454,126.9390259,3190000.0,치킨,미완성,서울특별시 동작구 동작대로23길 8 (사당동),서울특별시 동작구 사당동 708번지 333호,20110323.0,영업정지,식품위생법 제44조 및 제75조,20110323.0,영업정지
132,서울특별시 동작구 장승배기로27길 18 (노량진동),37.4873945,126.98065390000001,3190000.0,치킨,취하는건 바다,서울특별시 동작구 장승배기로27길 18 (노량진동),서울특별시 동작구 노량진동 246번지 1호,20070412.0,영업정지,식품위생법제21제22조,20061013.0,영업정지
133,서울특별시 동작구 동작대로27길 23 (사당동),37.4853795,126.97906210000001,3190000.0,치킨,오뎅사께,서울특별시 동작구 동작대로27길 23 (사당동),서울특별시 동작구 사당동 139번지 50호,20080313.0,과태료부과,식품위생법 제26조,20080313.0,과태료부과
134,서울특별시 동작구 사당로29가길 5 (사당동),37.4853795,126.97906210000001,3190000.0,치킨,토담골민속주점,서울특별시 동작구 사당로29가길 5 (사당동),서울특별시 동작구 사당동 141번지 52호,20150421.0,과태료부과 20만원(사전납부 16만원),식품위생법 제40조 및 동법 제101조,20150421.0,과태료부과 20만원(사전납부 16만원)
135,서울특별시 동작구 사당로29가길 5 (사당동),37.508492600000004,126.9610155,3190000.0,치킨,토담골민속주점,서울특별시 동작구 사당로29가길 5 (사당동),서울특별시 동작구 사당동 141번지 52호,20170829.0,과태료부과,법 제101조제2항 제1호,20170829.0,과태료부과
136,서울특별시 동작구 흑석로 111-6 (흑석동),37.4879606,126.9110987,3190000.0,치킨,원탭(one tap),서울특별시 동작구 흑석로 111-6 (흑석동),서울특별시 동작구 흑석동 181번지 14호,20190930.0,시설개수명령,법 제71조 법 제74조 및 법 제75조,20190930.0,시설개수명령
